house_room,house,house_area,total_price,unit_price
2室1厅,贡园 ,52.74,170.0,32234.0
3室2厅,阅城国际花园怡然园 ,133.24,470.0,35275.0
1室1厅,康业里 ,42.43,125.0,29461.0
2室1厅,山阴路 ,49.49,450.0,90928.0
6室2厅,东郊小镇第四街区 ,130.44,225.0,17250.0
3室2厅,名嘉佳园小区 ,125.2,340.0,27157.0
3室2厅,枫丹白露白露新寓 ,155.54,548.0,35233.0
3室2厅,鸿信清新家园 ,131.96,385.0,29176.0
3室2厅,鸿意星城 ,110.01,345.0,31361.0
3室2厅,鸿意星城 ,110.01,345.0,31361.0
2室1厅,莫愁新寓郁金里 ,57.9,185.0,31952.0
3室2厅,万科光明城市东苑 ,140.18,730.0,52076.0
3室2厅,金轮第一城 ,94.2,248.0,26327.0
2室1厅,北门桥小区 ,79.69,218.0,27357.0
2室1厅,凤凰街84号 ,54.79,200.0,36504.0
4室3厅,江南青年城蓝水苑 ,188.89,345.0,18265.0
2室1厅,来凤里 ,54.23,138.0,25448.0
2室1厅,悦民公寓 ,64.91,131.0,20182.0
4室2厅,集庆路 ,91.58,320.0,34943.0
3室1厅,康定里 ,70.6,285.0,40369.0
2室2厅,威尼斯水城第十街区 ,83.2,210.0,25241.0
2室2厅,天元吉第城 ,53.96,179.0,33173.0
3室1厅,东白菜园 ,67.73,210.0,31006.0
3室1厅,双塘里 ,63.44,198.0,31211.0
3室2厅,三金福邸 ,109.54,355.0,32409.0
3室2厅,明发滨江新城三期 ,130.48,310.0,23759.0
3室1厅,康定里 ,70.19,285.0,40605.0
3室2厅,锦绣花园紫桂园 ,117.25,220.0,18764.0
3室2厅,金信花园 ,119.91,540.0,45034.0
3室1厅,紫竹林 ,74.1,205.0,27666.0
3室2厅,托乐嘉友邻居 ,136.72,370.0,27063.0
2室2厅,挪威森林 ,90.68,258.0,28452.0
2室2厅,华汇康城 ,83.75,178.0,21254.0
3室2厅,逸翠居 ,118.49,345.0,29117.0
3室1厅,海宇公寓 ,109.34,369.0,33748.0
2室2厅,天悦花园 ,86.64,247.0,28509.0
3室2厅,凯悦天琴花园 ,103.04,439.0,42605.0
2室2厅,南京恒大绿洲 ,89.42,260.0,29077.0
3室2厅,文化名园烟波阁 ,119.2,340.0,28524.0
2室1厅,锦绣花园紫桂园 ,74.62,165.0,22113.0
3室2厅,文化名园烟波阁 ,119.2,340.0,28524.0
3室2厅,幸福美地花园 ,110.02,220.0,19997.0
2室2厅,钟山花园城山水居 ,93.7,397.0,42370.0
2室2厅,天元瑞沨名苑 ,89.07,236.0,26497.0
3室2厅,钟山晶典苑 ,123.78,378.0,30539.0
2室1厅,四卫头小区 ,59.9,200.0,33389.0
